Flight,Time,Length,Airline,AirportFrom,AirportTo,DayOfWeek,Class
152.0,895.0,,,OTZ,ANC,5,0
828.0,,255.0,AA,SJC,ORD,1,0
198.0,1377.0,311.0,UA,SFO,IAD,6,1
2991.0,742.0,82.0,XE,LIT,IAH,7,0
1820.0,725.0,65.0,AA,IAH,DFW,1,1
2321.0,705.0,,XE,CVG,IAH,4,1
470.0,445.0,234.0,CO,EWR,SJU,1,0
826.0,795.0,140.0,WN,LAS,PDX,1,1
1339.0,930.0,70.0,WN,BUR,OAK,3,1
1818.0,570.0,92.0,DL,MCO,ATL,4,0
909.0,1230.0,115.0,WN,DEN,TUS,3,1
15.0,815.0,655.0,CO,EWR,HNL,5,1
231.0,420.0,,B6,SLC,LGB,2,0
303.0,490.0,60.0,WN,STL,MDW,4,0
1153.0,1055.0,185.0,DL,DTW,FLL,5,1
5151.0,782.0,61.0,EV,ATL,TRI,6,1
6639.0,1006.0,104.0,OO,BZN,DEN,4,1
6272.0,835.0,55.0,OH,EVV,CVG,1,0
46.0,1130.0,110.0,WN,DAL,ABQ,4,1
735.0,930.0,,UA,DEN,SFO,1,1
1174.0,830.0,,AA,SJC,ORD,4,1
3.0,715.0,375.0,AA,JFK,LAX,7,1
1416.0,,298.0,US,LAX,PHL,2,1
524.0,1167.0,147.0,AS,SEA,BUR,4,0
755.0,860.0,105.0,WN,STL,DAL,3,1
588.0,1100.0,,B6,FLL,HPN,1,0
1752.0,1010.0,55.0,WN,DAL,AUS,5,1
1766.0,890.0,80.0,US,CLT,DCA,7,0
867.0,1165.0,160.0,AA,ORD,DEN,2,0
5217.0,808.0,82.0,EV,ATL,JAN,6,0
153.0,905.0,95.0,WN,IND,BWI,5,1
434.0,925.0,60.0,AA,DFW,TUL,1,1
526.0,900.0,171.0,US,MCI,PHX,7,0
251.0,1325.0,112.0,FL,ATL,FNT,7,1
711.0,615.0,344.0,,JFK,LAS,7,1
1446.0,500.0,210.0,DL,PHX,ATL,3,1
2.0,475.0,75.0,,DAL,MAF,4,1
848.0,940.0,75.0,WN,LAX,TUS,3,1
284.0,960.0,310.0,AA,HNL,LAX,6,1
1540.0,980.0,130.0,AA,TUS,DFW,5,0
5204.0,603.0,107.0,EV,SGF,ATL,2,0
4677.0,690.0,116.0,OO,SLC,BUR,7,0
2720.0,1112.0,104.0,XE,ICT,IAH,1,0
2982.0,895.0,,DL,MEM,DCA,2,0
1629.0,770.0,,WN,BUR,PHX,5,1
598.0,1175.0,150.0,AA,DFW,RDU,5,1
1794.0,770.0,60.0,,DFW,AUS,4,0
28.0,860.0,85.0,WN,DAL,MCI,1,1
42.0,1070.0,65.0,WN,DAL,LBB,3,1
2495.0,748.0,,DL,ATL,STL,5,0
283.0,,,AA,LAX,HNL,3,0
319.0,600.0,,AA,LGA,ORD,2,1
540.0,650.0,270.0,FL,ATL,PHX,4,0
452.0,490.0,55.0,WN,DAL,AUS,3,1
2984.0,,68.0,DL,MSP,MKE,5,0
192.0,,170.0,CO,EWR,MCO,1,0
6722.0,608.0,,OO,DEN,TYS,1,0
862.0,669.0,156.0,UA,SFO,DEN,7,0
2181.0,655.0,,XE,ATL,IAH,2,0
3696.0,870.0,80.0,MQ,ORF,JFK,7,0
2415.0,540.0,152.0,XE,CLE,MSY,5,0
2771.0,1075.0,133.0,XE,IAH,OMA,7,1
7043.0,961.0,97.0,OO,MOT,DEN,6,1
691.0,,165.0,UA,LGA,ORD,3,0
140.0,1250.0,,US,PHX,ANC,3,1
585.0,520.0,270.0,WN,BDL,DEN,4,1
562.0,610.0,107.0,FL,ATL,BMI,4,0
65.0,698.0,42.0,AS,PSG,JNU,1,1
1292.0,885.0,75.0,AA,DFW,MSY,4,0
2395.0,695.0,176.0,DL,PBI,LGA,6,0
4961.0,999.0,80.0,EV,FLO,ATL,7,0
5947.0,424.0,136.0,XE,ABE,ORD,1,0
5582.0,788.0,75.0,EV,MOB,ATL,6,1
6610.0,1018.0,57.0,OO,GJT,DEN,2,0
967.0,575.0,,WN,MSY,BNA,2,0
3751.0,505.0,,9E,GRR,DTW,7,0
405.0,590.0,378.0,B6,BOS,SAN,5,1
2071.0,640.0,125.0,WN,MCO,BWI,6,1
312.0,890.0,145.0,AA,DFW,RSW,3,0
1244.0,375.0,130.0,DL,HOU,ATL,6,0
6524.0,960.0,103.0,OO,SFO,PDX,1,1
4629.0,375.0,90.0,MQ,RDU,LGA,7,1
1002.0,365.0,,AA,DEN,DFW,6,0
1496.0,,168.0,DL,MSP,LGA,4,0
442.0,,120.0,WN,MDW,PHL,4,1
1330.0,425.0,85.0,WN,PDX,SMF,3,0
3.0,1065.0,357.0,AS,DCA,SEA,5,1
4976.0,505.0,,EV,ATL,BNA,3,0
6305.0,1101.0,47.0,OO,PSP,LAX,4,1
6680.0,1142.0,108.0,OO,BOI,DEN,3,0
401.0,1150.0,180.0,WN,PHL,FLL,3,1
90.0,475.0,152.0,US,PHL,ORD,3,0
2980.0,810.0,118.0,XE,IAH,TYS,4,0
5406.0,959.0,93.0,EV,CVG,DCA,4,1
2611.0,830.0,97.0,YV,CLE,CLT,7,0
2827.0,510.0,145.0,,DFW,CHS,7,0
122.0,462.0,50.0,HA,HNL,ITO,6,0
1150.0,770.0,168.0,B6,MCO,PWM,4,1
6527.0,830.0,148.0,OO,COS,ORD,1,1
6758.0,910.0,98.0,,DTW,TYS,5,0
51.0,1045.0,70.0,WN,LIT,DAL,2,0
981.0,770.0,140.0,WN,GEG,LAS,3,1
5551.0,645.0,86.0,EV,ATL,SDF,5,0
1118.0,1055.0,120.0,WN,HOU,ELP,5,1
5890.0,635.0,87.0,XE,CLE,ORD,1,1
15.0,815.0,655.0,CO,EWR,HNL,6,1
4661.0,520.0,109.0,OO,SLC,ONT,2,0
212.0,1085.0,143.0,UA,DEN,IAH,4,0
596.0,989.0,151.0,B6,MCO,HPN,2,0
2187.0,1140.0,77.0,US,LGA,DCA,5,0
4480.0,,80.0,OO,GFK,MSP,6,0
6369.0,1205.0,207.0,OO,ORD,SLC,2,1
5422.0,940.0,130.0,EV,DEN,MEM,4,1
428.0,840.0,70.0,AA,IAH,DFW,5,1
4857.0,1130.0,130.0,OO,LEX,MSP,6,1
7133.0,806.0,,,ORD,SBN,4,0
6729.0,1171.0,100.0,OO,DEN,XNA,4,1
6616.0,954.0,48.0,OO,ASE,DEN,2,1
765.0,,,WN,MDW,RDU,5,1
5005.0,990.0,93.0,EV,VPS,MEM,3,0
1040.0,535.0,,US,BWI,CLT,2,0
6618.0,723.0,111.0,OO,DEN,PHX,3,1
6294.0,1059.0,63.0,OO,DRO,DEN,4,0
1132.0,920.0,70.0,CO,EWR,BOS,4,1
2001.0,,85.0,WN,ELP,AUS,4,1
1247.0,1170.0,,B6,BOS,CLT,4,0
4762.0,390.0,103.0,OO,PSP,SLC,4,0
2206.0,,160.0,AA,DFW,IAD,4,0
6259.0,1150.0,105.0,OO,ORD,BHM,4,1
2630.0,1165.0,133.0,XE,IAH,CAE,6,1
7313.0,870.0,78.0,EV,MEM,SHV,3,0
6862.0,964.0,85.0,OO,SFO,SNA,2,1
6285.0,360.0,155.0,OO,MFR,DEN,3,1
3072.0,645.0,74.0,OO,MKE,STL,7,1
5169.0,500.0,221.0,EV,ATL,ELP,2,0
1448.0,625.0,142.0,CO,IAH,FLL,7,0
3099.0,349.0,81.0,OO,OMA,MKE,3,0
1160.0,1020.0,193.0,DL,SLC,IND,6,0
2041.0,885.0,135.0,XE,MKE,EWR,4,1
1541.0,1190.0,130.0,AA,RDU,MIA,3,0
6259.0,450.0,,OO,LAX,SBA,4,0
4138.0,1180.0,105.0,MQ,PIT,ORD,2,0
237.0,515.0,130.0,,MDW,PVD,7,1
1026.0,732.0,125.0,DL,DTW,ATL,5,1
5135.0,905.0,72.0,EV,ATL,ECP,5,0
515.0,1040.0,70.0,WN,SAN,PHX,5,0
3399.0,790.0,125.0,MQ,DFW,LEX,3,1
945.0,715.0,275.0,UA,ORD,LAX,2,1
1826.0,1265.0,78.0,US,PHL,MHT,5,0
5331.0,710.0,132.0,EV,CLE,MEM,7,1
3982.0,420.0,95.0,9E,EVV,DTW,1,0
499.0,1135.0,130.0,UA,MCO,IAD,4,1
1032.0,720.0,,AA,DFW,MCI,5,0
4187.0,390.0,85.0,MQ,DSM,ORD,1,0
1825.0,1110.0,106.0,US,BOS,PHL,4,0
367.0,505.0,195.0,AA,FLL,DFW,1,0
160.0,460.0,315.0,AA,SAN,JFK,3,0
2640.0,929.0,125.0,,EWR,GRR,3,0
103.0,375.0,131.0,F9,MSP,DEN,4,0
1822.0,1050.0,150.0,DL,DFW,DTW,2,0
676.0,960.0,190.0,CO,EWR,RSW,1,1
1189.0,1155.0,137.0,US,DCA,MCO,3,0
2807.0,515.0,140.0,WN,DEN,ONT,3,1
1696.0,1055.0,150.0,AA,MSY,ORD,7,0
2675.0,885.0,68.0,YV,LAS,LAX,4,0
4984.0,375.0,80.0,EV,GNV,ATL,6,0
6810.0,1204.0,,OO,OTH,PDX,4,1
237.0,417.0,353.0,UA,PIT,SFO,4,1
913.0,470.0,100.0,WN,MSY,MCO,3,1
1650.0,558.0,192.0,DL,LAS,MSP,4,1
7088.0,1085.0,109.0,EV,ORD,CAE,3,1
3096.0,455.0,144.0,XE,IAH,CMH,5,0
1527.0,899.0,215.0,CO,BWI,IAH,3,0
1091.0,400.0,110.0,WN,DAL,ELP,1,0
5517.0,380.0,,EV,ABE,ATL,3,1
5256.0,935.0,,EV,VPS,ATL,3,0
2582.0,863.0,137.0,XE,ATL,EWR,6,1
1630.0,1040.0,85.0,,SJC,LAS,5,1
1166.0,695.0,84.0,US,CLT,PIT,6,1
6325.0,1035.0,86.0,OH,ORD,CVG,3,0
829.0,1105.0,115.0,WN,LAS,DEN,5,1
348.0,1135.0,125.0,AA,ORD,LGA,5,1
2988.0,970.0,133.0,DL,MCO,CVG,5,0
815.0,490.0,142.0,US,PVD,CLT,6,0
3840.0,855.0,120.0,MQ,ORD,ATL,4,0
544.0,,135.0,US,PHX,DFW,3,1
1475.0,,138.0,US,PHL,ATL,2,0
6642.0,360.0,69.0,OO,RNO,SFO,7,0
5545.0,1295.0,75.0,EV,ATL,GNV,1,1
6375.0,1040.0,76.0,OH,ATL,GSO,2,0
5117.0,525.0,85.0,EV,ATL,FAY,1,1
6645.0,630.0,79.0,OH,ATW,DTW,2,0
3037.0,365.0,174.0,XE,CHS,IAH,6,0
2734.0,,150.0,XE,OMA,IAH,1,0
1707.0,900.0,146.0,CO,TPA,IAH,3,1
1430.0,1035.0,79.0,US,JAX,CLT,4,0
269.0,15.0,205.0,CO,SFO,IAH,1,1
259.0,961.0,342.0,B6,FLL,LGB,7,1
3655.0,1195.0,95.0,WN,STL,OKC,5,1
3674.0,1020.0,75.0,WN,SEA,BOI,7,1
1826.0,1225.0,70.0,AA,DFW,ICT,2,0
1648.0,725.0,160.0,DL,MIA,MEM,1,0
877.0,550.0,160.0,FL,ATL,MSP,7,0
5343.0,,125.0,,OKC,ATL,2,1
2801.0,735.0,55.0,WN,TPA,PBI,4,1
5584.0,691.0,62.0,EV,AVL,ATL,6,0
3932.0,485.0,95.0,MQ,SGF,ORD,5,0
1952.0,585.0,,DL,CMH,ATL,4,1
340.0,370.0,125.0,AS,SEA,OAK,2,0
938.0,755.0,320.0,WN,BWI,PHX,7,1
1360.0,780.0,65.0,WN,LAS,SNA,1,0
7284.0,1012.0,106.0,YV,IAD,SAV,5,0
2529.0,455.0,,WN,DEN,LAX,5,1
527.0,360.0,113.0,UA,ORD,BWI,4,0
1180.0,820.0,155.0,,DFW,RIC,4,0
3712.0,1110.0,105.0,MQ,ORD,XNA,1,1
2239.0,1260.0,121.0,DL,DCA,ATL,2,1
14.0,964.0,195.0,FL,SJU,MCO,5,0
3498.0,1190.0,115.0,WN,STL,BWI,7,1
43.0,714.0,458.0,UA,DEN,HNL,2,0
801.0,870.0,80.0,FL,BWI,BOS,4,0
674.0,910.0,311.0,B6,LAX,JFK,7,1
358.0,700.0,204.0,F9,DEN,TPA,3,1
485.0,475.0,,WN,PDX,GEG,4,1
1487.0,515.0,130.0,AA,DCA,ORD,7,0
4174.0,390.0,,MQ,BUF,ORD,5,0
1525.0,760.0,65.0,WN,LAS,BUR,2,1
41.0,420.0,78.0,AS,ANC,BET,2,0
703.0,385.0,60.0,WN,DAL,TUL,1,1
2367.0,385.0,177.0,XE,DAY,IAH,2,1
6991.0,715.0,154.0,OO,ORD,COS,3,1
6869.0,790.0,74.0,OO,DAY,ORD,5,1
2830.0,385.0,125.0,MQ,PNS,DFW,6,0
1782.0,1180.0,,AA,MCO,JFK,3,0
4970.0,680.0,94.0,EV,VPS,MEM,5,0
3762.0,370.0,105.0,WN,MSP,STL,4,0
4521.0,1030.0,97.0,OO,SLC,SMF,4,0
5289.0,885.0,,EV,ATL,JAN,4,0
1544.0,670.0,75.0,WN,RNO,LAS,6,0
1581.0,520.0,,DL,TUS,ATL,7,0
5201.0,890.0,137.0,EV,ATL,ALB,2,0
1421.0,600.0,168.0,DL,DTW,TPA,3,0
7261.0,1186.0,,YV,BUF,IAD,7,1
2401.0,390.0,205.0,AA,DFW,LAX,4,1
4988.0,600.0,74.0,,ATL,BNA,7,1
6367.0,1060.0,121.0,OH,DTW,BOS,7,0
1030.0,990.0,,AA,DFW,XNA,4,0
3753.0,480.0,95.0,MQ,MSP,ORD,7,0
1233.0,1020.0,125.0,WN,MCO,BWI,4,1
5236.0,685.0,93.0,EV,VPS,MEM,3,0
4162.0,915.0,,9E,FWA,DTW,7,1
6952.0,,152.0,OO,DEN,PSC,4,0
198.0,840.0,165.0,WN,TPA,MKE,3,1
2159.0,1160.0,191.0,DL,JFK,MCO,7,0
3260.0,765.0,170.0,,DAY,DFW,1,1
108.0,30.0,202.0,AS,ANC,SEA,6,0
1507.0,1095.0,190.0,,PBI,DFW,7,0
2283.0,625.0,,XE,IAH,AUS,5,0
2022.0,1140.0,171.0,DL,MSP,BOS,3,1
5329.0,,,EV,ATL,VPS,7,0
4519.0,,120.0,MQ,DCA,BNA,7,0
639.0,1020.0,233.0,US,ORD,PHX,1,0
33.0,537.0,157.0,UA,DEN,SNA,2,0
383.0,,268.0,F9,FLL,DEN,7,0
1809.0,550.0,98.0,US,PIT,CLT,3,1
706.0,840.0,122.0,US,ORD,PHL,2,0
7110.0,1019.0,92.0,EV,IAD,PWM,5,0
859.0,,111.0,F9,DEN,PHX,6,1
1561.0,840.0,147.0,DL,PHL,ATL,4,0
